file_name,device_info_serial,start_time,end_time,inPark,WENT_BACK,feeding_event
5654_2023-07-23 02:11:11_2023-07-23 03:26:28.csv,5654,2023-07-23T02:11:11Z,2023-07-23T03:26:28Z,0,1,0
5654_2023-07-24 19:53:12_2023-07-24 20:22:01.csv,5654,2023-07-24T19:53:12Z,2023-07-24T20:12:24Z,0,1,0
5654_2023-07-25 01:59:02_2023-07-25 03:08:51.csv,5654,2023-07-25T01:59:02Z,2023-07-25T03:08:51Z,0,0,0
5654_2023-07-26 01:59:26_2023-07-26 03:17:13.csv,5654,2023-07-26T01:59:26Z,2023-07-26T03:17:13Z,0,1,0
5654_2023-07-28 02:51:54_2023-07-28 03:31:38.csv,5654,2023-07-28T02:51:54Z,2023-07-28T03:31:38Z,0,1,1
5654_2023-07-28 13:31:51_2023-07-28 14:34:10.csv,5654,2023-07-28T13:31:51Z,2023-07-28T14:34:10Z,0,1,1
5654_2023-07-29 02:00:19_2023-07-29 03:13:34.csv,5654,2023-07-29T02:00:19Z,2023-07-29T03:13:34Z,0,1,0
5654_2023-07-30 01:39:53_2023-07-30 03:37:25.csv,5654,2023-07-30T01:39:53Z,2023-07-30T02:03:10Z,0,1,0
5717_2023-06-16 07:56:38_2023-06-16 11:29:09.csv,5717,2023-06-16T07:56:38Z,2023-06-16T11:29:09Z,0,1,1
5717_2023-06-17 00:41:06_2023-06-17 02:46:58.csv,5717,2023-06-17T00:41:06Z,2023-06-17T02:46:58Z,0,0,0
5717_2023-06-17 16:45:45_2023-06-17 17:48:25.csv,5717,2023-06-17T16:45:45Z,2023-06-17T17:48:25Z,0,1,0
5717_2023-06-18 04:44:53_2023-06-18 11:34:33.csv,5717,2023-06-18T04:44:53Z,2023-06-18T11:34:33Z,0,0,0
5717_2023-07-08 15:08:34_2023-07-08 16:01:38.csv,5717,2023-07-08T15:08:34Z,2023-07-08T16:01:38Z,0,0,0
5717_2023-07-09 07:23:09_2023-07-09 07:47:09.csv,5717,2023-07-09T07:23:09Z,2023-07-09T07:47:09Z,0,1,1
5717_2023-07-30 03:25:08_2023-07-30 04:17:55.csv,5717,2023-07-30T03:25:08Z,2023-07-30T04:17:55Z,0,0,0
5797_2023-07-08 10:13:03_2023-07-08 14:26:09.csv,5797,2023-07-08T10:13:03Z,2023-07-08T13:24:39Z,0,0,0
5861_2023-06-16 02:34:44_2023-06-16 14:32:48.csv,5861,2023-06-16T02:34:44Z,2023-06-16T14:32:48Z,0,0,0
