file_name,device_info_serial,date_time,index,speed_2d,prediction,confidence,altitude,temperature,runtime,model,inPark,longitude,latitude,WENT_BACK,counttime,temp_diff,time_diff,tempchange,temp_drop_flag,feeding_event
5965_2024-06-22 20:37:35_2024-06-22 21:30:35.csv,5965,2024-06-22T20:59:02Z,0,6.9876,Flap,1,-2,29.9,2025-06-11T09:44:02Z,45_best,0,4.460298,52.3823398,1,1719089942,-2.3000000000000043,18,-0.12777777777777802,1,1
5965_2024-06-23 02:46:19_2024-06-23 03:52:11.csv,5965,2024-06-23T03:00:43Z,0,11.4312,Flap,1,30,28.1,2025-06-11T09:43:57Z,45_best,0,4.4885621,52.5733271,1,1719111643,-2.8999999999999986,576,-0.00503472222222222,1,1
5965_2024-06-24 01:25:34_2024-06-24 02:58:38.csv,5965,2024-06-24T02:32:53Z,0,0.2505,SitStand,0.97,-3,22.5,2025-06-11T09:43:38Z,45_best,0,4.3591221000000004,52.5511666,1,1719196373,-6.800000000000001,9,-0.7555555555555556,1,1
5965_2024-06-29 10:25:30_2024-06-29 11:48:31.csv,5965,2024-06-29T10:51:23Z,0,8.6921,Flap,1,-3,29,2025-06-11T09:43:01Z,45_best,0,4.3139588,52.4367761,1,1719658283,-3.799999999999997,9,-0.4222222222222219,1,1
5965_2024-07-04 04:35:55_2024-07-04 05:56:28.csv,5965,2024-07-04T05:56:28Z,0,9.029,Soar,0.99,7,29.5,2025-06-11T09:42:39Z,45_best,0,4.544684,52.459324,1,1720072588,-5.799999999999997,897,-0.006465997770345593,1,1
5965_2024-07-04 13:34:20_2024-07-04 14:37:48.csv,5965,2024-07-04T14:04:13Z,0,4.0283,Flap,1,10,29.5,2025-06-11T09:42:43Z,45_best,0,4.5479197,52.5875562,1,1720101853,-3,288,-0.010416666666666666,1,1
5965_2024-07-16 03:34:28_2024-07-16 04:13:00.csv,5965,2024-07-16T04:08:06Z,0,19.5027,Flap,0.99,10,27.4,2025-06-11T09:42:19Z,45_best,0,4.542679,52.456178,1,1721102886,-2.200000000000003,289,-0.007612456747404854,1,1
5965_2024-07-17 20:40:06_2024-07-17 21:13:43.csv,5965,2024-07-17T21:04:06Z,0,10.2073,Flap,0.89,21,27,2025-06-11T09:42:15Z,45_best,0,4.5232107,52.4402722,1,1721250246,-2.6000000000000014,576,-0.004513888888888891,1,1
5965_2024-07-26 12:57:31_2024-07-26 13:08:36.csv,5965,2024-07-26T13:08:36Z,0,6.2005,Manouvre,0.69,22,35.5,2025-06-11T09:41:56Z,45_best,0,4.5857648,52.4600585,1,1721999316,-2.1000000000000014,299,-0.007023411371237463,1,1
5977_2024-05-06 00:10:18_2024-05-06 03:37:51.csv,5977,2024-05-06T01:34:51Z,0,0.6435,Float,1,-28,34.7,2025-06-11T09:50:17Z,45_best,0,4.2627635,52.4109807,1,1714959291,-2.6999999999999957,290,-0.009310344827586192,1,1
5977_2024-05-06 00:10:18_2024-05-06 03:37:51.csv,5977,2024-05-06T00:50:28Z,0,8.9595,Flap,0.97,-2,32.2,2025-06-11T09:50:17Z,45_best,1,4.2268676,52.386511,1,1714956628,-4.899999999999999,300,-0.016333333333333328,1,1
5977_2024-06-20 04:43:00_2024-06-20 06:29:25.csv,5977,2024-06-20T05:57:25Z,0,0.8009,Soar,0.58,3,19.4,2025-06-11T09:49:32Z,45_best,0,4.3987959,52.5097618,1,1718863045,-8.700000000000003,97,-0.08969072164948456,1,1
5979_2024-05-09 19:08:16_2024-05-09 21:38:55.csv,5979,2024-05-09T21:38:55Z,0,12.217,Flap,0.99,2,22,2025-05-21T11:00:57Z,45_best,0,4.5652685,52.4647982,1,1715290735,-6.399999999999999,1801,-0.0035535813436979448,1,1
5979_2024-06-19 18:43:01_2024-06-19 20:42:48.csv,5979,2024-06-19T19:12:51Z,0,6.2263,Flap,0.98,50,22.9,2025-05-21T11:00:51Z,45_best,0,4.4880402,52.4882811,1,1718824371,-9.100000000000001,1790,-0.005083798882681565,1,1
5979_2024-06-20 19:46:30_2024-06-20 21:47:30.csv,5979,2024-06-20T20:16:19Z,0,10.0023,Flap,0.99,36,24.6,2025-05-21T11:00:46Z,45_best,0,4.5468744,52.515461,1,1718914579,-6.5,1789,-0.0036333147009502517,1,1
5979_2024-07-01 14:09:57_2024-07-01 16:18:03.csv,5979,2024-07-01T15:48:09Z,0,0.038,SitStand,0.98,8,33.3,2025-05-21T11:00:27Z,45_best,0,4.5749709,52.4654709,1,1719848889,-2.700000000000003,5892,-4.5824847250509215e-4,1,1
5979_2024-07-02 20:36:30_2024-07-02 21:34:16.csv,5979,2024-07-02T21:00:28Z,0,6.7466,ExFlap,0.97,6,22.7,2025-05-21T11:00:21Z,45_best,0,4.5000924,52.6051307,1,1719954028,-4.199999999999999,287,-0.014634146341463412,1,1
5979_2024-07-17 08:19:51_2024-07-17 08:59:07.csv,5979,2024-07-17T08:54:18Z,0,7.8605,ExFlap,0.96,-78,30.2,2025-05-21T11:00:10Z,45_best,0,4.529524,52.4584755,1,1721206458,-9.400000000000002,292,-0.032191780821917815,1,1
5979_2024-07-19 16:28:44_2024-07-19 17:41:17.csv,5979,2024-07-19T16:52:44Z,0,11.0803,Flap,0.99,59,31.6,2025-05-21T11:00:05Z,45_best,1,4.2305007,52.3861899,1,1721407964,-2.1000000000000014,1152,-0.001822916666666668,1,1
7014_2024-05-03 03:43:25_2024-05-03 05:03:02.csv,7014,2024-05-03T04:33:10Z,0,7.1291,Flap,0.98,0,28.7,2025-05-21T14:42:09Z,45_best,0,4.5269999,52.4407301,1,1714710790,-4.199999999999999,590,-0.007118644067796609,1,1
7014_2024-05-06 06:28:37_2024-05-06 08:17:39.csv,7014,2024-05-06T08:07:47Z,0,13.3192,Flap,0.98,-7,29.2,2025-05-21T14:41:53Z,45_best,0,4.5432479,52.4716929,1,1714982867,-4.5000000000000036,592,-0.007601351351351357,1,1
7014_2024-05-08 04:16:35_2024-05-08 06:43:34.csv,7014,2024-05-08T05:16:34Z,0,0.5745,ExFlap,1,25,25.9,2025-05-21T14:41:42Z,45_best,0,4.5820618,52.5088863,1,1715145394,-6.300000000000004,592,-0.0106418918918919,1,1
7014_2024-05-17 00:03:28_2024-05-17 04:01:03.csv,7014,2024-05-17T03:01:52Z,0,3.5565,Soar,0.36,0,30.1,2025-05-21T14:41:20Z,45_best,0,4.5389195,52.4042521,1,1715914912,-6.100000000000001,1185,-0.005147679324894516,1,1
7014_2024-05-24 05:21:23_2024-05-24 09:53:48.csv,7014,2024-05-24T07:53:29Z,0,0.7651,SitStand,0.95,-4,32.3,2025-05-21T14:40:36Z,45_best,0,4.5049055,52.6820466,1,1716537209,-7.700000000000003,1899,-0.0040547656661400755,1,1
7014_2024-06-03 09:44:07_2024-06-03 11:32:49.csv,7014,2024-06-03T11:03:12Z,0,8.4318,Flap,0.98,17,31.8,2025-05-21T14:40:03Z,45_best,0,4.5047413,52.4599584,1,1717412592,-6.099999999999998,592,-0.010304054054054051,1,1
7014_2024-06-28 06:14:53_2024-06-28 07:17:15.csv,7014,2024-06-28T07:17:15Z,0,7.0355,Flap,0.9,-7,29.3,2025-05-21T14:38:59Z,45_best,0,4.5671509,52.4511635,1,1719559035,-4.800000000000001,575,-0.008347826086956523,1,1
7014_2024-06-30 16:00:55_2024-06-30 19:28:52.csv,7014,2024-06-30T18:50:13Z,0,4.3676,Soar,0.69,54,29.1,2025-05-21T14:38:54Z,45_best,0,4.4146632,52.5226968,1,1719773413,-4.899999999999999,287,-0.01707317073170731,1,1
7087_2024-05-07 15:17:55_2024-05-07 15:56:20.csv,7087,2024-05-07T15:37:07Z,0,2.1112,SitStand,0.4,8,26.1,2025-05-21T11:15:58Z,45_best,0,4.5581036,52.5422756,1,1715096227,-2.799999999999997,288,-0.009722222222222212,1,1
7087_2024-05-09 04:03:56_2024-05-09 05:01:28.csv,7087,2024-05-09T04:47:05Z,0,14.36,Flap,1,23,26.4,2025-05-21T11:15:47Z,45_best,0,4.5085716,52.3970456,1,1715230025,-5.300000000000001,288,-0.018402777777777782,1,1
7087_2024-05-09 06:27:05_2024-05-09 08:50:02.csv,7087,2024-05-09T08:30:50Z,0,1.4328,Float,0.95,-4,25,2025-05-21T11:15:53Z,45_best,0,4.5077819,52.4630809,1,1715243450,-6.600000000000001,286,-0.02307692307692308,1,1
7087_2024-05-10 05:59:25_2024-05-10 07:11:29.csv,7087,2024-05-10T07:06:39Z,0,0.8365,Float,1,2,23.3,2025-05-21T11:15:36Z,45_best,0,4.5482618,52.4757528,1,1715324799,-3.3999999999999986,866,-0.00392609699769053,1,1
7087_2024-05-14 15:58:39_2024-05-14 16:42:18.csv,7087,2024-05-14T16:37:31Z,0,11.007,Flap,1,8,28.6,2025-05-21T11:15:22Z,45_best,0,4.5401476,52.4146224,1,1715704651,-2.799999999999997,288,-0.009722222222222212,1,1
7087_2024-05-15 16:16:00_2024-05-15 16:55:12.csv,7087,2024-05-15T16:30:58Z,0,11.945,Flap,0.99,27,25.2,2025-05-21T11:15:05Z,45_best,0,4.4970126,52.421321,1,1715790658,-5.100000000000001,898,-0.005679287305122496,1,1
7087_2024-05-17 03:40:54_2024-05-17 07:45:06.csv,7087,2024-05-17T07:06:42Z,0,0.8351,Float,0.99,1,24.8,2025-05-21T11:14:43Z,45_best,0,4.583101,52.5208091,1,1715929602,-5.399999999999999,612,-0.008823529411764704,1,1
7087_2024-05-20 17:47:28_2024-05-20 21:56:37.csv,7087,2024-05-20T18:37:09Z,0,0.9437,Float,0.98,0,25.4,2025-05-21T11:14:31Z,45_best,0,4.4947081,52.3509995,1,1716230229,-4.600000000000001,288,-0.015972222222222228,1,1
7087_2024-05-23 20:22:53_2024-05-23 23:39:14.csv,7087,2024-05-23T22:12:51Z,0,0.5826,Float,1,-1,24.4,2025-05-21T11:14:14Z,45_best,0,4.4978347,52.3863099,1,1716502371,-4.800000000000001,289,-0.01660899653979239,1,1
7087_2024-06-02 13:15:53_2024-06-02 15:56:09.csv,7087,2024-06-02T15:04:10Z,0,4.638,ExFlap,0.98,-10,21.8,2025-05-21T11:13:21Z,45_best,1,4.2926357,52.5906282,1,1717340650,-6.800000000000001,18,-0.3777777777777778,1,1
7087_2024-06-13 05:31:01_2024-06-13 08:36:36.csv,7087,2024-06-13T06:40:48Z,0,4.1893,Flap,0.97,6,19.9,2025-05-21T11:12:18Z,45_best,0,4.4027821,52.641969,1,1718260848,-6.5,36,-0.18055555555555555,1,1
7087_2024-06-22 17:31:54_2024-06-22 18:49:57.csv,7087,2024-06-22T18:19:54Z,0,0.8068,Float,1,-2,25.4,2025-05-21T11:11:52Z,45_best,0,4.5781414,52.5413912,1,1719080394,-2.5,287,-0.008710801393728223,1,1
7087_2024-06-25 20:32:42_2024-06-25 22:18:31.csv,7087,2024-06-25T21:13:10Z,0,1.7056,Float,0.99,-6,27.7,2025-05-21T11:11:33Z,45_best,0,4.5627232,52.6200074,1,1719349990,-3.6999999999999993,304,-0.012171052631578945,1,1
7087_2024-07-15 16:42:35_2024-07-15 19:27:19.csv,7087,2024-07-15T17:59:24Z,0,0.567,Float,0.81,0,28,2025-05-21T11:10:39Z,45_best,0,4.4881248,52.4657495,1,1721066364,-3.8999999999999986,290,-0.01344827586206896,1,1
